,speaker_label,speaker_num,start_time,end_time,speaker_change_index,segment_start_time,segment_end_time
164,Wallace,0,71.04,71.32,0.0,6.24,95.47
165,Wallace,0,71.32,71.62,0.0,6.24,95.47
166,Wallace,0,71.62,72.1,0.0,6.24,95.47
167,Wallace,0,72.1,72.19,0.0,6.24,95.47
168,Wallace,0,72.19,72.3,0.0,6.24,95.47
169,Wallace,0,72.3,72.78,0.0,6.24,95.47
170,Wallace,0,72.78,72.91,0.0,6.24,95.47
171,Wallace,0,72.91,73.32,0.0,6.24,95.47
172,Wallace,0,73.32,73.87,0.0,6.24,95.47
173,Wallace,0,74.7,74.86,0.0,6.24,95.47
174,Wallace,0,74.86,75.3,0.0,6.24,95.47
175,Wallace,0,75.3,75.62,0.0,6.24,95.47
176,Wallace,0,75.62,75.73,0.0,6.24,95.47
177,Wallace,0,75.73,75.83,0.0,6.24,95.47
178,Wallace,0,75.83,76.17,0.0,6.24,95.47
179,Wallace,0,76.17,76.4,0.0,6.24,95.47
180,Wallace,0,76.4,76.95,0.0,6.24,95.47
181,Wallace,0,76.95,77.05,0.0,6.24,95.47
182,Wallace,0,77.05,77.44,0.0,6.24,95.47
183,Wallace,0,77.44,78.01,0.0,6.24,95.47
184,Wallace,0,78.01,78.23,0.0,6.24,95.47
185,Wallace,0,78.23,79.03,0.0,6.24,95.47
186,Wallace,0,79.22,79.5,0.0,6.24,95.47
187,Wallace,0,79.5,80.1,0.0,6.24,95.47
188,Wallace,0,80.1,80.26,0.0,6.24,95.47
189,Wallace,0,80.26,80.57,0.0,6.24,95.47
190,Wallace,0,80.57,81.29,0.0,6.24,95.47
191,Wallace,0,81.29,81.48,0.0,6.24,95.47
192,Wallace,0,81.48,81.81,0.0,6.24,95.47
193,Wallace,0,81.81,81.96,0.0,6.24,95.47
194,Wallace,0,81.96,82.15,0.0,6.24,95.47
195,Wallace,0,82.15,82.75,0.0,6.24,95.47
196,Wallace,0,82.75,83.29,0.0,6.24,95.47
197,Wallace,0,83.68,83.91,0.0,6.24,95.47
198,Wallace,0,83.91,84.3,0.0,6.24,95.47
199,Wallace,0,84.3,84.45,0.0,6.24,95.47
200,Wallace,0,84.45,84.61,0.0,6.24,95.47
201,Wallace,0,84.61,84.71,0.0,6.24,95.47
202,Wallace,0,84.71,85.22,0.0,6.24,95.47
203,Wallace,0,85.22,85.48,0.0,6.24,95.47
204,Wallace,0,85.48,85.61,0.0,6.24,95.47
205,Wallace,0,85.61,86.1,0.0,6.24,95.47
206,Wallace,0,86.74,86.92,0.0,6.24,95.47
207,Wallace,0,86.92,87.3,0.0,6.24,95.47
208,Wallace,0,87.3,87.82,0.0,6.24,95.47
209,Wallace,0,87.83,88.16,0.0,6.24,95.47
210,Wallace,0,88.16,88.66,0.0,6.24,95.47
211,Wallace,0,89.06,89.24,0.0,6.24,95.47
212,Wallace,0,89.24,89.43,0.0,6.24,95.47
213,Wallace,0,89.43,89.8,0.0,6.24,95.47
214,Wallace,0,89.8,89.9,0.0,6.24,95.47
215,Wallace,0,89.9,90.49,0.0,6.24,95.47
216,Wallace,0,90.49,91.04,0.0,6.24,95.47
217,Wallace,0,91.04,91.59,0.0,6.24,95.47
218,Wallace,0,91.59,92.05,0.0,6.24,95.47
219,Wallace,0,92.44,92.66,0.0,6.24,95.47
220,Wallace,0,92.66,92.74,0.0,6.24,95.47
221,Wallace,0,92.74,93.36,0.0,6.24,95.47
222,Wallace,0,93.36,94.05,0.0,6.24,95.47
223,Wallace,0,94.06,94.49,0.0,6.24,95.47
224,Wallace,0,94.49,94.98,0.0,6.24,95.47
225,Wallace,0,94.98,95.47,-1.0,6.24,95.47
226,Biden,1,98.24,98.39,0.0,98.24,111.94
227,Biden,1,98.39,98.45,0.0,98.24,111.94
228,Biden,1,105.52,106.1,0.0,98.24,111.94
229,Biden,1,109.3,109.67,0.0,98.24,111.94
230,Biden,1,109.67,109.73,0.0,98.24,111.94
231,Biden,1,109.73,109.79,0.0,98.24,111.94
232,Biden,1,109.79,109.94,0.0,98.24,111.94
233,Biden,1,109.94,110.44,0.0,98.24,111.94
234,Biden,1,110.45,110.79,0.0,98.24,111.94
235,Biden,1,110.79,110.93,0.0,98.24,111.94
236,Biden,1,110.93,111.1,0.0,98.24,111.94
237,Biden,1,111.1,111.32,0.0,98.24,111.94
238,Biden,1,111.43,111.94,1.0,98.24,111.94
239,Wallace,0,117.44,118.24,0.0,117.44,167.55
240,Wallace,0,118.25,118.55,0.0,117.44,167.55
241,Wallace,0,118.55,119.1,0.0,117.44,167.55
242,Wallace,0,119.1,119.19,0.0,117.44,167.55
243,Wallace,0,119.2,119.54,0.0,117.44,167.55
244,Wallace,0,119.54,119.63,0.0,117.44,167.55
245,Wallace,0,119.63,119.8,0.0,117.44,167.55
246,Wallace,0,119.8,120.25,0.0,117.44,167.55
247,Wallace,0,120.25,120.78,0.0,117.44,167.55
248,Wallace,0,120.78,121.07,0.0,117.44,167.55
249,Wallace,0,121.07,121.41,0.0,117.44,167.55
250,Wallace,0,121.41,121.59,0.0,117.44,167.55
251,Wallace,0,121.59,121.81,0.0,117.44,167.55
252,Wallace,0,121.81,122.0,0.0,117.44,167.55
253,Wallace,0,122.0,122.44,0.0,117.44,167.55
254,Wallace,0,122.44,122.62,0.0,117.44,167.55
255,Wallace,0,122.62,122.94,0.0,117.44,167.55
