,speaker_label,speaker_num,start_time,end_time,start_date_time,end_date_time
144,Biden,1,1827.63,1835.01,1970-01-01 00:30:28,1970-01-01 00:30:36
145,Wallace,0,1835.01,1836.86,1970-01-01 00:30:36,1970-01-01 00:30:37
146,Biden,1,1836.87,1850.19,1970-01-01 00:30:37,1970-01-01 00:30:51
147,Trump,2,1850.2,1853.16,1970-01-01 00:30:51,1970-01-01 00:30:54
148,Biden,1,1853.16,1854.95,1970-01-01 00:30:54,1970-01-01 00:30:55
149,Trump,2,1854.94,1866.44,1970-01-01 00:30:55,1970-01-01 00:31:07
150,Wallace,0,1866.45,1869.07,1970-01-01 00:31:07,1970-01-01 00:31:10
151,Wallace,0,1869.64,1878.61,1970-01-01 00:31:10,1970-01-01 00:31:19
152,Wallace,0,1879.54,1886.29,1970-01-01 00:31:20,1970-01-01 00:31:27
153,Trump,2,1886.29,1890.52,1970-01-01 00:31:27,1970-01-01 00:31:31
154,Wallace,0,1890.53,1896.07,1970-01-01 00:31:31,1970-01-01 00:31:37
155,Trump,2,1896.34,1906.44,1970-01-01 00:31:37,1970-01-01 00:31:47
156,Wallace,0,1906.44,1907.95,1970-01-01 00:31:47,1970-01-01 00:31:48
157,Trump,2,1907.96,1928.75,1970-01-01 00:31:48,1970-01-01 00:32:09
158,Biden,1,1928.75,1938.05,1970-01-01 00:32:09,1970-01-01 00:32:19
159,Biden,1,1938.84,1941.27,1970-01-01 00:32:19,1970-01-01 00:32:22
160,Biden,1,1941.84,1945.68,1970-01-01 00:32:22,1970-01-01 00:32:26
161,Trump,2,1945.69,1946.43,1970-01-01 00:32:26,1970-01-01 00:32:27
162,Biden,1,1946.43,1948.54,1970-01-01 00:32:27,1970-01-01 00:32:29
163,Trump,2,1948.54,1954.51,1970-01-01 00:32:29,1970-01-01 00:32:35
164,Wallace,0,1954.51,1957.65,1970-01-01 00:32:35,1970-01-01 00:32:38
165,Biden,1,1957.65,1968.32,1970-01-01 00:32:38,1970-01-01 00:32:49
166,Trump,2,1968.33,1972.39,1970-01-01 00:32:49,1970-01-01 00:32:53
167,Wallace,0,1972.39,2011.77,1970-01-01 00:32:53,1970-01-01 00:33:32
168,Trump,2,2012.14,2116.54,1970-01-01 00:33:33,1970-01-01 00:35:17
169,Wallace,0,2116.55,2119.56,1970-01-01 00:35:17,1970-01-01 00:35:20
170,Wallace,0,2120.64,2128.69,1970-01-01 00:35:21,1970-01-01 00:35:29
171,Biden,1,2128.69,2134.96,1970-01-01 00:35:29,1970-01-01 00:35:35
172,Biden,1,2135.64,2158.12,1970-01-01 00:35:36,1970-01-01 00:35:59
173,Wallace,0,2158.13,2163.4,1970-01-01 00:35:59,1970-01-01 00:36:04
174,Biden,1,2163.41,2210.13,1970-01-01 00:36:04,1970-01-01 00:36:51
175,Trump,2,2210.13,2213.29,1970-01-01 00:36:51,1970-01-01 00:36:54
176,Biden,1,2213.3,2254.13,1970-01-01 00:36:54,1970-01-01 00:37:35
177,Wallace,0,2254.14,2256.67,1970-01-01 00:37:35,1970-01-01 00:37:37
178,Trump,2,2256.67,2257.56,1970-01-01 00:37:37,1970-01-01 00:37:38
179,Wallace,0,2257.57,2259.34,1970-01-01 00:37:38,1970-01-01 00:37:40
180,Trump,2,2259.35,2295.59,1970-01-01 00:37:40,1970-01-01 00:38:16
181,Wallace,0,2295.59,2315.96,1970-01-01 00:38:16,1970-01-01 00:38:36
182,Wallace,0,2317.04,2328.05,1970-01-01 00:38:38,1970-01-01 00:38:49
183,Trump,2,2328.06,2361.44,1970-01-01 00:38:49,1970-01-01 00:39:22
184,Wallace,0,2361.44,2363.19,1970-01-01 00:39:22,1970-01-01 00:39:24
185,Trump,2,2363.2,2363.86,1970-01-01 00:39:24,1970-01-01 00:39:24
186,Wallace,0,2363.86,2376.84,1970-01-01 00:39:24,1970-01-01 00:39:37
187,Trump,2,2376.85,2378.08,1970-01-01 00:39:37,1970-01-01 00:39:39
188,Wallace,0,2378.09,2379.05,1970-01-01 00:39:39,1970-01-01 00:39:40
189,Trump,2,2379.05,2420.94,1970-01-01 00:39:40,1970-01-01 00:40:21
190,Wallace,0,2420.95,2422.6,1970-01-01 00:40:21,1970-01-01 00:40:23
191,Biden,1,2422.6,2453.63,1970-01-01 00:40:23,1970-01-01 00:40:54
192,Trump,2,2453.63,2462.29,1970-01-01 00:40:54,1970-01-01 00:41:03
193,Biden,1,2462.29,2464.07,1970-01-01 00:41:03,1970-01-01 00:41:05
194,Trump,2,2464.08,2478.08,1970-01-01 00:41:05,1970-01-01 00:41:19
195,Wallace,0,2478.08,2486.65,1970-01-01 00:41:19,1970-01-01 00:41:27
196,Wallace,0,2487.41,2513.46,1970-01-01 00:41:28,1970-01-01 00:41:54
197,Biden,1,2513.46,2550.18,1970-01-01 00:41:54,1970-01-01 00:42:31
198,Wallace,0,2550.18,2552.85,1970-01-01 00:42:31,1970-01-01 00:42:33
199,Biden,1,2552.86,2575.54,1970-01-01 00:42:33,1970-01-01 00:42:56
